Judul,Penulis,Link,Abstrak
Klasifikasi Aritmia Sinyal ECG Menggunakan Transformasi Wavelet Dan Analisa Statistik.,"Gusnam, Mu'thiana",http://repository.its.ac.id/95953/,"Pengenalan kelainan aritmia seseorang diketahui dengan melakukan rekam aktivitas jantung menggunakan Electrocardiogram (ECG). Rekaman ECG detak jantung dibagi menjadi gelombang P, QRS, dan T yang menunjukkan aktivitas kelistrikan jantung seperti depolarisasi atrium dari gelombang P, depolarisasi ventrikel dari kompleks QRS dan repolarisasi ventrikel maupun atrium dari segmen ST."
"Klasifikasi Jenis Tumor Otak Meningioma, Glioma, Dan Pituitari Berbasis Hybrid Vgg-16 Dan Svm Untuk Diagnosis Praoperasi.","Hajjanto, Ariq  Dreiki",http://repository.its.ac.id/110912/,"Berdasarkan Global Cancer Statistic pada tahun 2020, kasus baru tumor otak dan CNS mencapai 308.102 dengan kematian mencapai 251.329 di seluruh dunia.  Di Indonesia sendiri, estimasi kejadian dan kematian pada tahun 2016 mencapai 6.337 dan 5.405 kasus. Banyak jenis tumor otak dengan variasi lokasi, ukuran, dan tingkat keganasan membuat melokalisasi dan klasifikasi tumor kompleks bagi ahli medis secara konvensional, menyebabkan kesalahan dalam penentuan jenis tumor otak karena perlu membaca hasil citra dalam jumlah yang sangat banyak. Keakuratan klasifikasi konvensional dapat dipengaruhi oleh beberapa faktor, seperti perbedaan subjektivitas individu dalam mengenali lokasi tumor, waktu, ketelitian, kelelahan, dan faktor manusia lainnya. Maka dari itu, dibutuhkan suatu metode dalam menghasilkan diagnosis tumor yang akurat dengan machine learning. Akan tetapi, penelitian yang menggunakan pendekatan machine learning sangat rentan akan overfitting disebabkan kurangnya dataset ataupun model arsitektur yang digunakan dan juga lamanya proses komputasi yang dibutuhkan. Oleh sebab itu, Pada penelitian ini diusulkan sistem klasifikasi hibrida dengan bantuan machine learning, yaitu menggunakan arsitektur/model VGG-16 dan Support Vector Machine (SVM). VGG-16 memiliki keunggulan dalam ekstraksi fitur hierarkis dan invariansi spasial yang memungkinkan identifikasi tumor dengan akurasi lebih tinggi. Output fitur jenis tumor otak dari VGG-16 direduksi menggunakan Principal Component Analysis (PCA), lalu diklasifikasi dengan bantuan SVM serta dioptimalkan dengan pengujian kombinasi kernel dan hyperparameter. Performa arsitektur dievaluasi menggunakan performance metrics dan komparasi model sebelumnya, yang memungkinkan penilaian objektif terhadap hasil yang dicapai. Hasil penelitian memberikan hasil untuk masing-masing metrik akurasi, presisi, recall¸f1-score, dan spesifisitas secara berturut-turut sebesar 96.9%, 97.3%, 96.67%, 96.67%, dan 99.97% dengan menggunakan kernel polynomial dengan hyperparameter C, degree, dan coef0 sebesar 10, 3, dan 0.5.============================================================According to the 2020 Global Cancer Statistics, there were 308,102 new cases of brain and CNS tumors, resulting in 251,329 deaths worldwide. In Indonesia alone, the estimated incidence and mortality in 2016 were 6,337 and 5,405 cases, respectively. The various types of brain tumors, with variations in location, size, and malignancy levels, make localization and classification complex for conventional medical professionals, leading to errors in brain tumor determination due to the need to analyze a vast amount of imaging results. Conventional classification accuracy can be influenced by factors such as individual subjectivity in recognizing tumor locations, timing, precision, fatigue, and other human factors. Therefore, a method is needed to produce accurate tumor diagnoses using machine learning. However, research using machine learning approaches is highly susceptible to overfitting due to the lack of datasets or the architectural models used and the lengthy computational processes required. Hence, this study proposes a hybrid classification system with the assistance of machine learning, utilizing the VGG-16 architecture/model and Support Vector Machine (SVM). VGG-16 excels in hierarchical feature extraction and spatial invariance, enabling higher accuracy in tumor identification. The output features of brain tumor types from VGG-16 are reduced using Principal Component Analysis (PCA) and then classified with the help of SVM, optimized by testing combinations of kernels and hyperparameters. The architecture performance is evaluated using performance metrics and comparison with previous models, allowing for an objective assessment of the achieved results. The study results for each metric of accuracy, precision, recall, f1-score, and specificity were 96.9%, 97.3%, 96.67%, 96.67%, and 99.97%, respectively, using the polynomial kernel with hyperparameters C, degree, and coef0 of 10, 3, and 0.5."
Pembuatan Sistem Visual Question Answering Berbasis Web Untuk Mendukung Pembelajaran Visual Anak TK Berbahasa Indonesia Menggunakan Deep Learning.,"Hanifah, Asiyah",http://repository.its.ac.id/102392/,"Seiring pesatnya perkembangan teknologi, Indonesia semakin gencar melakukan persiapan transformasi digital untuk menghadapi perubahan teknologi. Salah satunya adalah implementasi e-learning di berbagai sektor, termasuk pendidikan. E-learning telah diterapkan dalam pembelajaran taman kanak-kanak, termasuk pembelajaran visual. Bentuk pembelajaran visual pada e-learning dapat dibuat dengan pembangunan sistem visual question answering. Beberapa penelitian telah dibuat untuk pembangunan sistem visual question answering dan berhasil membuat sistem visual question answering dengan ilmu patologi dalam bahasa inggris, dan dataset objek di sekitar monas dalam bahasa indonesia. Oleh karena itu, dilakukan pengajuan pembuatan sistem visual question answering dengan dataset yang lebih umum dan dapat dikenali oleh anak TK berbahasa indonesia. Dadanya penelitian ini akan dapat membantu tenaga pendidik dalam kegiatan belajar mengajar yang lebih interaktif dalam e-learning. Penelitian ini menggunakan model Bootstrapping Language-Image Pre-training (BLIP) untuk proses pembuatan sistem visual question answering dan mengimplementasikan model No Language Left Behind (NLLB) pada input-output pertanyaan untuk menerjemahkan bahasa yang digunakan. Hasil implementasi kedua model BLIP dan NLLB berhasil membangun sistem visual question answering berbahasa indonesia. Berdasarkan hasil pengujiannya, dari beberapa pertanyaan yang mengandung 6 jenis jawaban: ya/tidak, kata benda, kata kerja, kata sifat, kata keterangan, dan numeral, sistem ini berhasil menjawab tepat untuk jenis jawaban ya/tidak, kata benda, kata kerja, dan kata keterangan dengan nilai ketepatan jawaban ya/tidak 100, kata benda 100, kata kerja 100, dan kata keterangan 87.5.===============================================================================================================================Along with the rapid development of technology, Indonesia is increasingly intensifying its digital transformation preparations to face the existing technological advancements. With the rapid development of technology, Indonesia is increasingly intensifying its preparations for digital transformation to face technological changes. One of these preparations involves the implementation of e-learning across various sectors, including education. E-learning has been applied in kindergarten education, including visual learning. Visual learning in e-learning can be achieved through the development of a visual question answering system. Several studies have been conducted on visual question answering systems and have successfully created such systems using pathology images in English and object datasets around Monas (National Monument) in Indonesian. Therefore, the author proposes the creation of a visual question answering system with a more general dataset that can be recognized by Indonesian-speaking kindergarten children. The purpose of this research is to assist educators in conducting more interactive e-learning activities. The research utilizes the Bootstrapping Language-Image Pre-training (BLIP) model for the development of the visual question answering system and implements the No Language Left Behind (NLLB) model for translating the language used in the input-output questions. The implementation results of both the BLIP and NLLB models successfully build a visual question answering system in the Indonesian language. Based on testing, the system can provide accurate answers for yes/no, nouns, verbs, and adverbial questions, with accuracy rates of 100% for yes/no, 100% for nouns, 100% for verbs, and 87.5% for adverbial questions, all of which contain six types of answers: yes/no, nouns, verbs, adjectives, adverbs, and numerals."
Analisis Prediksi Faktor Intensitas Tegangan Pada Sambungan Tubular Jacket Platform Berbasis Surrogate Model.,"Hardian, Muhammad Akbar",http://repository.its.ac.id/98455/,"Berdasarkan data SKK migas pada tahun 2016, 54,65% anjungan lepas pantai di Indonesia telah berumur lebih dari 20 tahun. Struktur yang telah melebihi umur operasinya perlu ditinjau ulang dari segi kekuatan struktur apakah masih mampu untuk beroperasi. Dalam penelitian ini, penulis akan berfokus pada analisis prediksi faktor intensitas tegangan pada struktur jacket berkaki empat berbasis surrogate model. Faktor intensitas tegangan merupakan faktor yang menentukan kelelahan pada sambungan tubular dengan metode fracture mechanics. Dalam rangkat meningkatkan akurasi dan mengoptimalkan waktu analisis dikembangkan surrogate model dari analisis variasi retak yang didapat dengan metode elemen hingga. Metode analisis yang digunakan dalam penelitian ini meliputi analisis statis inplace untuk analisis tegangan struktur secara global, analisis lokal sambungan tubular kritis, analisis retak pada tubular dengan titik tegangan kritis tertinggi, dan pemodelan faktor intensitas tegangan berbasis surrogate model menggunakan machine learning model SVM berdasarkan variasi kedalaman retak dan panjang retak. Analisis retak menggunakan 30 variasi model retak yang berada pada tegangan maksimum di analisis lokal metode elemen hingga. Analisis lokal struktur berdasarkan hasil analisis statis inplace global struktur dengan sambungan kritisnya adalah sambungan tubular multiplanar DKT. Diperoleh tegangan von-mises tertinggi pada brace 5 dengan tegangan sebesar 327 MPa. Hasil surrogate model variasi model retak dengan algoritma RBF memberikan hasil prediksi dengan validasi R2 dengan variabel rasio (a/2c) sebesar 1 lalu dengan algoritma SVM memberikan hasil prediksi dengan validasi R2 dengan variabel rasio (a/2c) sebesar 0,99.=================================================================================================================================Based on SKK Migas data in 2016, 54.65% of offshore platforms in Indonesia were over 20 years old. Structures that have exceeded their operational life need to be reviewed in terms of their structural strength to determine if they are still capable of operating. In this study, the author will focus on predicting the stress intensity factor on a four-legged jacket structure based on a surrogate model. The stress intensity factor is a factor that determines fatigue in tubular connections using fracture mechanics methods. To improve accuracy and optimize analysis time, a surrogate model was developed from the analysis of crack variations obtained using the finite element method. The analysis methods used in this study include static analysis in-place for global structural stress analysis, local critical tubular connection analysis, crack analysis in tubular with the highest critical stress point, and modeling of stress intensity factors based on a surrogate model using a machine learning SVM model based on variations in crack depth and crack length. Crack analysis used 30 crack model variations located at maximum stress in the local analysis of the finite element method. Local structural analysis is based on the results of global in-place static analysis of the structure with its critical connection, which is the DKT multiplanar tubular connection. The highest von-Mises stress was obtained at brace 5 with a stress of 327 MPa. The surrogate model results of crack model variations with the RBF algorithm provided a prediction result with a validation R2 value of 1 for the ratio variable (a/2c), while the SVM algorithm provided a prediction result with a validation R2 value of 0.99 for the ratio variable (a/2c)."
Surrogate-Assisted Model Untuk Prediksi Umur Kelelahan Pada Sambungan Tubular Multiplanar Jacket Platform Berbasis Mekanika Kepecahan.,"Hardian, Muhammad Akbar",http://repository.its.ac.id/108251/,"Berdasarkan informasi yang disampaikan dalam presentasi SKK Migas pada The 3rd Indo Decomm in Oil and Gas Conference, Indonesia telah mengoperasikan 613 unit anjungan lepas pantai terpancang sejak produksi komersial pertama di daerah lepas pantai. Dari total anjungan, sebanyak 54.65% telah berusia lebih dari 20 tahun, sementara 24.63% memiliki usia antara 16-20 tahun. Dengan perpanjangan waktu operasinya, integritas struktur platform tua tentu akan menurun. Salah satu akibatnya potensial terjadi kegagalan struktur karena beban siklis dengan adanya retak yang mayoritas bermula dari bagian las sambungan tubular pada strukturnya. Penelitian ini bertujuan untuk mengembangkan model baru dalam memprediksi umur lelah sambungan tubular multi-planar DKT berbasis Mekanika Kepecahan (Fracture Mechanics) dengan lebih efektif melalui surrogate model. Dengan menganalisis parameter geometri yang dapat mempengaruhi keretakan dan membangkitkan surrogate model yang lebih akurat untuk memprediksi umur kelelahan sambungan tubular multi-planar DKT kritis pada pembebanan aksial, IPB, OPB, dan gabungan. Analisis tersebut berhasil mendapatkan tegangan kritis yang terdapat pada brace 5. Umur lelah hingga kedalaman retak kritis juga didapatkan pada pembebanan aksial, IPB, OPB, dan gabungan untuk digunakan sebagai data training pada pembangkitan surrogate model dengan 2 variasi algoritma machine learning. Penelitian ini menyimpulkan bahwa algoritma radial basis function memberikan hasil yang lebih baik pada pembangkitan surrogate model daripada algoritma kriging. Hasil error yang diberikan pada algoritma radial basis function adalah 0.3%====================================================================================================================================Based on information presented in SKK Migas' presentation at The 3rd Indo Decomm in Oil and Gas Conference, Indonesia has operated 613 units of offshore platforms since the first commercial production in offshore areas. Of the total platforms, 54.65% are more than 20 years old, while 24.63% are between 16-20 years old. With the extension of its operation time, the structural integrity of the old platform will certainly decrease. One of the potential consequences is structural failure due to cyclical loading with cracks, the majority of which originate in the welds of tubular joints in the structure. This research aims to develop a new model to more effectively predict the fatigue life of DKT multi-planar tubular joints based on Fracture Mechanics through a surrogate model. By analysing geometry parameters that can affect cracking and generating a more accurate surrogate model to predict the fatigue life of critical DKT multi-planar tubular joints under axial, IPB, OPB and combined loading. The analysis successfully obtained the critical stress located at brace 5. The fatigue life to critical crack depth was also obtained under axial, IPB, OPB, and combined loading to be used as training data for surrogate model generation with 2 variations of machine learning algorithms. This study concluded that radial basis function algorithm gives better results in surrogate model generation than kriging algorithm. The error result given in the radial basis function algorithm is 0.3%."
"Perancangan Sistem Deteksi Keausan Pahat Pada Mesin Milling Menggunakan ""Cubic SVM"".","Hikmah, Zahra Putri Nurul",http://repository.its.ac.id/100911/,"Kerusakan suatu mesin dapat terjadi begitu saja tanpa timbulnya suatu indikasi tertentu. Sehingga dibutuhkan suatu sistem monitoring yang dapat digunakan untuk mendeteksi suatu anomali dalam proses permesinan. Deteksi anomali merupakan suatu proses untuk mengidentifikasikan suatu error atau peristiwa yang tidak terduga. Penelitian ini bertujuan untuk mengetahui sinyal vibrasi atau sinyal arus, sinyal yang paling tepat digunakan untuk mendeteksi keausan pahat pada mesin milling 3 axis Matsura 510 menggunakan model machine learning cubic SVM dan juga untuk mengetahui pengaruh penggunaan dekomposisi sinyal EMD terhadap hasil klasifikasi data yang dihasilkan. Penelitian dimulai dari pengambilan data untuk mendapatkan sinyal arus dan sinyal vibrasi kemudian masing-masing sinyal di-prepocessing. Lalu setelah itu sinyal diubah menjadi numerical features melalui proses features extraction. Numerical features yang sudah didapatkan kemudian diseleksi menggunakan ANOVA supaya menghasilkan hasil performance metrics yang baik. Sebelum features diklasifikasikan dengan model machine learning, maka diperlukan validasi model untuk menghindari overfitting dan underfitting. Setelah itu features dapat diklasifikasikan dengan menggunakan dua proses yaitu proses training dan proses testing sehingga didapatkan prediksi mengenai kondisi mesin. Berdasarkan penelitian yang telah dilakukan dapat disimpulkan bahwa ternyata sinyal vibrasi dalam domain frekuensi yang diolah tanpa menggunakan EMD dapat digunakan untuk mendeteksi keasuan pahat pada mesin milling 3 axis Matsura 510. Hal tersebut dapat dibuktikan dengan nilai precision dan recall yang dihasilkan dari proses training dan testing. Pada proses training didapatkan nilai precision sebesar 94,7% dan recall sebesar 84,7%. Kemudian pada proses testing didapatkan nilai precision sebesar 90,1% dan recall sebesar 90,1%. ==============================================================================================================================Damage to a machine can occur without any indication. Therefore require monitoring system can be used to detect an anomaly in the machining process. Anomaly detection is a process to identify an error or unexpected event. This research aims to find out between vibration signals and current signals, which signals are the best to detect tool wear on Matsura 510 3-axis milling machine using a cubic SVM machine learning algorithm. In addition, this research also aims to determine the effect of using EMD signal decomposition on the resulting data classification results. The research begins with data collection to obtain current signals and vibration signals, then each signal is preprocessed. Then after that, the signal is converted into numerical features through the features extraction process. Numerical features that have been obtained are then selected using ANOVA to produce good performance metrics. Before features are classified with a machine learning model, it is necessary to validate the model to avoid overfitting and underfitting. After that, the features can be classified using two processes, the training process and the testing process so that predictions about the condition of the machine can be obtained. Based on the research that has been done, it would be concluded that it turns out that the vibration signal processed in frequency domain without using EMD can be used to detect the acidity of the tool on the Matsura 510 3-axis milling machine. That could be proved by the precision and recall values produced in training and testing data. In the training process, the precision value having a percentage of 94,7% and 84,7%. Then in the testing process obtained precision value of 90,1% and recall of 90,1%."
Pengembangan Smart Meter untuk Mendukung Home Energy Management System (HEMS) Mempertimbangkan Kualitas Daya Peralatan Rumah.,"Ibrahim, Ditya Addo",http://repository.its.ac.id/87579/,"Pertumbuhan penduduk pada negara berkembang seperti Indonesia menyebabkan peningkatan kebutuhan energi menjadi tantangan yang harus dihadapi. Konsumsi listrik sektor rumah tangga menjadi salah satu faktor tingginya kenaikan beban listrik di mana diketahui sektor tersebut menghasilkan 30% kerugian dari energi terdistribusi. Sedangkan dalam pemenuhan energi listrik sebesar 88% suplai masih berasal dari energi fosil. Sehingga upaya konservasi energi perlu digiatkan terutama pada kelistrikan rumah tangga, salah satunya dengan konsep Home Energy Management System (HEMS) untuk mengoptimasi penggunaan listrik pada rumah. Pada penelitian tugas akhir ini dilakukan pengembangan pada sistem smart meter untuk monitoring konsumsi daya listrik rumah pendukung HEMS dengan Non-Intrusive Load Monitoring (NILM) untuk memantau penggunaan baik daya total dan per beban aktif dengan kualitas daya peralatan sebagai tambahan parameter identifikasi. Dengan adanya NILM maka sistem dapat mengidentifikasi jenis beban aktif rumah hanya menggunakan satu sensor pada saluran listrik utama sehingga proses monitoring menjadi lebih mudah serta memakan biaya dan energi yang lebih rendah. Proses identifikasi menggunakan model pelatihan dengan implementasi Artificial Neural Network (ANN) dalam mengolah data pengukuran untuk menentukan jenis beban yang sedang menyala. Hasil dari simulasi menunjukkan bahwa dengan konfigurasi 50 hidden neuron, pelatihan ANN dapat memperoleh akurasi dengan MAPE sebesar 2,201% dalam mengidentifikasi beban listrik."
"Implementasi Aplikasi Artificial Neural Network (ANN) Backpropagation untuk Prediksi Debit Harian pada Stasiun Pos Duga Air, DAS Serang-Lusi, Jawa Tengah.","Ilahi, Rizqi Noer",http://repository.its.ac.id/113000/,"Hubungan antara hujan dan limpasan sangat erat. Sebagian hujan yang turun dari permukaan bumi terserap ke dalam tanah yang memungkinkan terjadi infiltrasi, dan sebagian lainnya mengalir ke saluran kecil hingga mencapai aliran sungai. Di tempat ini, limpasan terjadi ketika daratan tergenang oleh air hingga dapat menyebabkan banjir. Adanya sistem analisis yang dapat memprediksi dengan baik diperlukan untuk mengatasi masalah yang ada. Dalam praktiknya, memilih model untuk menganalisis dan menilai sistem DAS sangat sulit, namun, ini tidak berarti bahwa model yang ada tidak baik, salah satu model yang tersedia adalah penggunaan Jaringan Syaraf Tiruan (JST) atau Artificial Neural Network (ANN). Studi ini menyelidiki hasil perhitungan debit pemodelan Artificial Neural Network yang dilakukan menggunakan Matlab dan Python. Tujuan dari Tugas Akhir ini adalah untuk menghasilkan debit pemodelan ANN yang optimal dari model arsitektur jaringan yang digunakan. Untuk masukan program ANN, digunakan data curah hujan, evapotranspirasi, dan koefisien aliran. Data hujan dilakukan Uji konsistensi kurva massa ganda untuk menguji konsisteni data curah hujan. Selanjutnya, diambil hujan rerata kawasan menggunakan Polygon Thiessen. Sementara untuk luaran debit pemodelan dari program ANN ini adalah data debit yang diambil dari stasiun pos duga air. Hasil penelitian menunjukkan bahwa dalam pemodelan debit menggunakan ANN metode backpropagation memiliki kinerja yang sangat baik dengan nilai mean square error (MSE) terbaik adalah 0,032 untuk training, sedangkan untuk testing memiliki nilai MSE 0,047. Nilai keandalan atau akurasi program ANN ini mencapai 98%, yang artinya program ANN ini layak dijadikan metode pendekatan debit lapangan.=================================================================================================================================The relationship between rain and runoff is very close. Some of the rain that falls from the earth's surface is absorbed into the ground, which allows infiltration to occur, and some of it flows into small channels until it reaches the flow of rivers. In this place, runoff occurs when the land is flooded by water so that it can cause flooding. The existence of an analysis system that can predict well is necessary to overcome existing problems. In practice, choosing a model to analyze and assess a watershed system is very difficult, however, this does not mean that the existing model is not good, one of the available models is the use of Artificial Neural Network (JST) or Artificial Neural Network (ANN). This study investigated the results of the calculation of the Artificial Neural Network modeling discharge  conducted using Matlab and Python. The purpose of this Final Project is to produce optimal ANN modeling discharge from the network architecture model used. For the input of the ANN program, rainfall, evapotranspiration, and flow coefficient data are used. Rainfall data was carried out Double mass curve consistency test to test the consistency of rainfall data. Next, the average rainfall of the area was taken using Thiessen's Polygon. Meanwhile, the modeling discharge output of the ANN program is discharge data taken from the suspected water post station. The results show that in the discharge modeling using ANN, the backpropagation  method has excellent performance with  the best mean square error (MSE) value of 0.032 for training, while for testing it has an MSE value of 0.047. The reliability or accuracy value of this ANN program reaches 98%, which means that this ANN program is worthy of being used as a field debit approach method."
Klasifikasi Diagnosa Pasien Berdasarkan Rekam Medis Elektronik Menggunakan Text Mining Dan Support Vector Machine.,"Jamaluddin, M.",http://repository.its.ac.id/86313/,"Rekam Medis Elektronik (RME) adalah elemen penting dari teknologi informasi di bidang kesehatan. RME adalah catatan elektronik yang berisi informasi terkait kesehatan pasien yang dapat dibuat dan dikelola oleh dokter dan staf yang berwenang di organisasi pelayanan kesehatan. RME adalah kerangka kerja untuk menentukan diagnosis dan pengobatan kepada pasien. RME memiliki format teks bebas dan tidak terstruktur yang membuat lebih sulit untuk menggali informasi tersembunyi sebagai sistem pendukung keputusan. Dalam thesis ini, dilakukan penelitian untuk klasifikasi dari RME berbahasa Indonesia sebagai Clinical Decision Support System (CDSS) dalam mengklasifikasikan diagnosis pasien menggunakan Term Frequency-Inverse Document Frequency (Tf-Idf) untuk ekstraksi fitur dan Support Vector Machine (SVM) untuk metode klasifikasi. Diagnosa yang diklasifikasikan dalam thesis ini adalah tuberkulosis, kanker, diabetes mellitus, hipertensi, dan gagal ginjal yang memiliki angka prevalensi tinggi di Indonesia.Model dibangun dengan mempertimbangkan fungsi kernel SVM serta penggunaan stopword removal atau tanpa stopword removal. Akurasi tertinggi didapatkan pada kernel RBF menggunakan stopword removal dan model n-gram (1-3) dengan nilai akurasi 91,71%. Hasil penelitian menunjukkan bahwa metode Tf-Idf dan SVM dapat digunakan secara efektif untuk memprediksi diagnosis.=====================================================================================================Electronic Medical Record (EMR) is an important element of information technology in health sector. EMR is an electronic record containing health-related information on an patient that can be created and managed by authorized physician and staff in a health service organization. EMR is a framework for determining diagnosis and treatment. EMR has free text and unstructured format which makes it more difficult to extract the hidden information as a decision support system. This study performs classification from Indonesian EMR for clinical decision support system (CDSS) in classifying patient diagnosis using Term Frequency-Inverse Document Frequency (Tf-Idf) for feature extraction and Support Vector Machine (SVM) for classifier method. The focus diagnoses classified in this paper are tuberculosis, cancer, diabetes mellitus, hypertension, and kidney failure which have high prevalence rates in Indonesia. The model is built by considering the kernel function and the use of stopword removal or without stopword removal. The highest accuracy is obtained in the RBF kernel with stopword removal and n-gram (1-3) by an accuracy value of 91.71%. The result showed that Tf-Idf and SVM method could be used effectively to predict diagnosis."
Analisis Modifikasi Algoritma YOLO dengan Implementasi Convolutional Block Attention Module (CBAM) terhadap Performa Deteksi Penyu di Lingkungan Bawah Laut.,"Juliantono, Fadly Rachman Drajad",http://repository.its.ac.id/112272/,"Eksplorasi biota laut di seluruh dunia, termasuk Indonesia, memainkan peran penting dalam memahami keanekaragaman hayati dan ekosistem bawah air. Indonesia, bagian dari segitiga karang dunia, memiliki keragaman spesies yang luar biasa, namun penelitian terhadap potensi ini masih terbatas. Penyu, reptil laut yang telah ada selama jutaan tahun, sering menjadi daya tarik wisata utama dan memainkan peran penting dalam ekosistem laut. Konservasi penyu menjadi perhatian penting karena ancaman dari aktivitas manusia dan perubahan iklim. Dengan berkembangnya modernisasi, sektor pariwisata maritim di Indonesia tumbuh pesat, menempatkan tekanan pada ekosistem laut dan menegaskan kebutuhan akan manajemen dan pemantauan yang berkelanjutan. Sistem deteksi objek di lingkungan laut menghadapi tantangan seperti air keruh dan variasi pencahayaan yang mengurangi efektivitas teknologi tradisional. Oleh karena itu, pengembangan model berbasis Deep Learning seperti You Only Look Once (YOLO) menjadi sangat relevan. Penelitian ini mengeksplorasi penerapan YOLO yang dilengkapi dengan Convolutional Block Attention Module (CBAM) dalam pengaruh performa deteksi penyu di lingkungan bawah laut dan bertujuan untuk menguji akurasi dan kinerja model deteksi pada kamera bawah laut yang menggunakan mesin Jetson Nano Dev Kit. Model dengan performa tingkat akurasi tinggi didapatkan oleh YOLOv8n dengan CBAM dengan hasil mAP@0,5: 0,95 senilai 57,1% dan beban Param 8.0M serta FLOPs 8.3. Nilai ini naik sebesar 4% dibandingkan dengan YOLOv8n tanpa CBAM. Dengan performa yang dimiliki, model yang dideploy dapat mendeteksi objek secara real-time dan mendapatkan hingga 10 fps. Dengan pembuatan model ini, dapat digunakan sebagai groundtruth dari sistem deteksi penyu secara akurat dan dapat dikembangkan dengan fitur klasifikasi untuk di masa yang akan datang.===============================================================================================Exploration of marine biota worldwide, including Indonesia, plays a crucial role in understanding biodiversity and underwater ecosystems. Indonesia, being part of the world's coral triangle, boasts an extraordinary diversity of species, yet research into this potential remains limited. Sea turtles, marine reptiles that have existed for millions of years, often become major tourist attractions and play a vital role in marine ecosystems. Turtle conservation is a pressing concern due to threats from human activities and climate change. As modernization progresses, the maritime tourism sector in Indonesia is rapidly growing, putting pressure on marine ecosystems and underscoring the need for ongoing management and monitoring. Object detection systems in marine environments face challenges such as turbid water and varying lighting conditions that reduce the effectiveness of traditional technologies. Therefore, the development of Deep Learning-based models like You Only Look Once (YOLO) becomes highly relevant. This research explores the application of YOLO equipped with the Convolutional Block Attention Module (CBAM) to study its impact on the performance of turtle detection in underwater environments and aims to test the accuracy and performance of the detection model on underwater cameras using the Jetson Nano Dev Kit. The model enhanced by YOLOv8n with CBAM achieved high-performance metrics with a mean Average Precision (mAP) @ 0,5 of 57.1% and a parameter load of 8.0M and FLOPs of 8.3, showing a 4% improvement compared to YOLOv8n without CBAM. With its current capabilities, the deployed model can detect objects in real-time at a rate of 10 fps. With the creation of this model, it can serve as the ground truth for accurately detecting turtles and can be further developed with classification features for future applications."
